3cf84cb2-b985-443f-ab85-228d4ab8ae0b;Guava;14.25
36dffea8-c54f-44c4-83a8-1897c9cf716f;Fennel;27.91
e1c2a56b-2d4b-46b7-8d2f-0b967bdc0374;Sobe - Lizard Fuel;4.1
04ebbd16-d327-4d97-9419-9342759c4afc;Sprouts - Brussel;56.29
6a826c01-10c6-4563-aa3f-4010aac88c04;Soup Bowl Clear 8oz92008;88.15
1c660398-1eab-463e-8c50-0ec6feba4d26;Pepper - Red Bell;44.32
caf66a6d-d963-4cae-9fef-1e0921cfc3b6;Catfish - Fillets;82.07
834b15f6-6de8-4a63-bcc8-1d8ad9150ca7;Chicken Breast Wing On;65.0
482a9f2a-ef96-46a5-bc42-2e3b96ccdcb1;Cocoa Butter;53.97
3acef761-8000-4940-9374-6fbae088d03a;Chocolate Bar - Oh Henry;78.13
c7b9e30d-b174-4d1a-a7c3-274ea00cabfa;Pear - Asian;87.91
ea060170-4f2e-428e-b4cc-cd3d18da91c3;Table Cloth 62x120 White;30.55
97798e41-c1a8-4ee1-97b7-29d8eff300e8;Table Cloth 62x120 White;78.86
cc1a823e-845d-4e0b-9451-91190bd9c840;Port - 74 Brights;12.89
a2e66606-4076-497b-b675-f8a77d172121;Zucchini - Green;52.41
36ff74ee-0ba8-47ca-b0ea-0da334633605;Spring Roll Veg Mini;39.84
23646b15-3900-417f-911c-ff5a2e2c2a37;Lid Coffeecup 12oz D9542b;90.43
95ea31c3-1d97-4d8c-848d-f5f8ce08acd3;Raspberries - Frozen;75.25
c5a9d3e8-1415-4aaa-a8c5-b05266e72d14;Soup - Campbells, Minestrone;5.0
22c19bf5-fac7-4e9e-b292-fd58b56d2825;Beef - Prime Rib Aaa;5.14
77389f20-2931-4e2d-9423-9b3da16d6e3c;Wine - Fat Bastard Merlot;27.78
679e127b-996d-4430-b7a1-295a5a724e4c;Beets - Candy Cane, Organic;4.84
1a610f18-6d9d-4091-be36-c1ea82a6bed8;Corn - On The Cob;73.25
92d7a797-03ef-4604-8579-e106b88a3bbb;Energy Drink - Franks Original;72.92
4b877659-4463-4f23-b2a9-653b05fbd2bd;Truffle Cups - White Paper;29.98
e770134b-d1da-47dd-952f-abcd4a33f6b7;Plate Foam Laminated 9in Blk;27.25
1cc56509-48e9-4bd7-8060-93b69cc98426;Oil - Truffle, Black;9.23
00f58dd5-541c-4403-b385-3576a24dd5ca;Wine - Chardonnay Mondavi;69.61
8069193d-f36e-48bd-8066-794dc483a5cc;Flower - Leather Leaf Fern;6.19
4a28137a-0b82-47fd-b364-72fa0430e89a;Soup - Campbells Mushroom;6.53
d440095a-0db8-4ba8-84eb-2f4fbd28ddc3;Bread - Bistro White;55.57
